2019-09-30 01:04:57 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=7, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049044293892204 }', details={}}]. 
2019-09-30 01:05:03 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049046683678872 }', details={}}]. 
2019-09-30 01:05:25 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049053598158528 }', details={}}]. 
2019-09-30 01:05:29 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049075906440688 }', details={}}]. 
2019-09-30 01:05:53 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049083046175640 }', details={}}]. 
2019-09-30 01:06:17 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049108009828156 }', details={}}]. 
2019-09-30 01:06:25 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049133160033980 }', details={}}]. 
2019-09-30 01:06:32 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=7, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049138461485876 }', details={}}]. 
2019-09-30 01:06:34 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=18, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049145549800164 }', details={}}]. 
2019-09-30 01:06:51 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049147768639800 }', details={}}]. 
2019-09-30 01:07:13 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646049166445746812 }', details={}}]. 
